"Site","Quad","Species","trackID","Year","basalArea_genet","recruit","survives_tplus1","age","size_tplus1","nearEdge","Suspect"
"KS","e1q2-3","Andropogon gerardii","ANDGER_69_2",71,250.464502774739,0,1,2,36.1965982087965,TRUE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_69_2",72,36.1965982087965,0,NA,3,NA,TRUE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_70_1",70,7.35929275457299,1,1,0,138.683100430999,FALSE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_70_1",72,138.683100430999,0,NA,1,NA,FALSE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_72_1",72,0.709200999671498,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_72_2",72,0.709207509244012,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_72_3",72,0.709207398831991,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_72_4",72,0.709200690299009,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_72_5",72,81.6646942585124,1,NA,0,NA,TRUE,FALSE
"KS","e1q2-3","Andropogon gerardii","ANDGER_72_6",72,0.7092060222254,1,NA,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_60_1",60,4.2080564456174,1,1,0,18.9062388608737,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_60_1",61,18.9062388608737,0,1,1,3.62811822738289,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_60_1",62,3.62811822738289,0,0,2,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_61_1",61,9.32389032911499,1,0,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_1",62,13.81649967393,1,0,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_2",62,7.42094818852048,1,0,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_3",62,13.6726747647335,1,0,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_4",62,13.0775952724228,1,0,0,NA,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_5",62,10.235736100842,1,1,0,429.613746914338,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_5",63,429.613746914338,0,1,1,1133.34597261462,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_5",64,1133.34597261462,0,1,2,165.425983423765,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_5",65,165.425983423765,0,1,3,353.885753202387,FALSE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_5",66,353.885753202387,0,1,4,436.248774901095,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_5",67,436.248774901095,0,1,5,1504.46801818489,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_5",68,1504.46801818489,0,1,6,2540.06671878532,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_5",69,2540.06671878532,0,1,7,2139.5164442986,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_5",70,2139.5164442986,0,1,8,2086.26568232406,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_5",71,2086.26568232406,0,1,9,504.280717262097,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_5",72,504.280717262097,0,NA,10,NA,TRUE,FALSE
"KS","e1q2-4","Andropogon gerardii","ANDGER_62_6",62,34.09935620863,1,1,0,125.492642297193,TRUE,FALSE
